group,tag,shows,title_en,title_zh_hant,cn_annot_hant,title_zh_hans,cn_annot_hans,title_en_ok,title_hant_ok,title_hans_ok,title_hant_src,title_hans_src,syn_en,syn_hant,syn_hans
rocio durcal es inolvidable,西葡音樂劇,1,Rocío Dúrcal es inolvidable,Rocío Dúrcal es inolvidable,羅西奧·杜爾卡爾令人難忘,Rocío Dúrcal es inolvidable,罗西奥·杜尔卡尔令人难忘,1,1,1,官方譯名表,官方譯名表,1,1,1
rock of ages,Broadway/West End,1,Rock of Ages,Rock of Ages,搖滾年代,Rock of Ages,摇滚年代,1,1,1,官方譯名表,官方譯名表,1,1,1
rocky,Broadway/West End,2,Rocky,Rocky,,Rocky,,1,0,0,—,—,1,1,1
rocky horror show,Broadway/West End,2,The Rocky Horror Show,The Rocky Horror Show,洛基恐怖秀,The Rocky Horror Show,洛基恐怖秀,1,1,1,官方譯名表,官方譯名表,1,1,1
rollers forever,Broadway/West End,2,Rollers Forever,Rollers Forever,,Rollers Forever,,1,0,0,—,—,1,1,1
romeo and juliet,韓國原創,1,Romeo & Juliet,Romeo & Juliet,,Romeo & Juliet,,1,0,0,—,—,0,0,0
romeo et juliette,法式音樂劇,9,Roméo et Juliette,Roméo et Juliette,羅密歐與茱麗葉,Roméo et Juliette,罗密欧与朱丽叶,1,1,1,官方譯名表,官方譯名表,1,1,1
romeo i julia,歐陸原創,1,ROMEO I JULIA,ROMEO I JULIA,,ROMEO I JULIA,,1,0,0,—,—,0,0,0
ronja rovardotter,歐陸原創,1,Ronja Rövardotter,Ronja Rövardotter,強盜的女兒,Ronja Rövardotter,绿林女儿罗妮娅,1,1,1,官方譯名表,官方譯名表,1,1,1
rrr takarazuka rama,日本原創,2,RRR × TAKA”R”AZUKA ～√Rama～,RRR × TAKA”R”AZUKA ～√Rama～,,RRR × TAKA”R”AZUKA ～√Rama～,,1,0,0,—,—,1,1,1
rudolph the red nosed reindeer,Broadway/West End,1,Rudolph the Red-Nosed Reindeer,Rudolph the Red-Nosed Reindeer,,Rudolph the Red-Nosed Reindeer,,1,0,0,—,—,1,1,1
ruthless,Broadway/West End,1,Ruthless,Ruthless,,Ruthless,,1,0,0,—,—,1,1,1
sa som i himmelen,歐陸原創,1,Så som i himmelen,Så som i himmelen,就像在天堂,Så som i himmelen,其实在天堂,1,1,1,官方譯名表,官方譯名表,1,1,1
salon rosie,德奧音樂劇,1,Salon Rosie,Salon Rosie,,Salon Rosie,,1,0,0,—,—,1,1,1
santa claus,Broadway/West End,1,Santa Claus,Santa Claus,,Santa Claus,,1,0,0,—,—,1,1,1
saturnin hybernia,歐陸原創,1,Saturnin Hybernia,Saturnin Hybernia,,Saturnin Hybernia,,1,0,0,—,—,1,1,1
savior,中國原創,1,Savior,Savior,,Savior,,1,0,0,—,—,0,0,0
schmigadoon,Broadway/West End,1,Schmigadoon!,Schmigadoon!,,Schmigadoon!,,1,0,0,—,—,1,1,1
schneekonigin,德奧音樂劇,1,Schneekönigin - das Musical,Schneekönigin - das Musical,冰雪女王,Schneekönigin - das Musical,冰雪女王,1,1,1,官方譯名表,官方譯名表,1,1,1
school of rock,Broadway/West End,2,School of Rock,School of Rock,搖滾教室,School of Rock,摇滚校园,1,1,1,官方譯名表,官方譯名表,1,1,1
screwtape letters,韓國原創,1,The Screwtape Letters – A Musical,The Screwtape Letters – A Musical,,The Screwtape Letters – A Musical,,1,0,0,—,—,1,1,1
scrooge,Broadway/West End,1,Scrooge,Scrooge,,Scrooge,,1,0,0,—,—,1,1,1
serce ze szka musical zen,歐陸原創,1,Serce ze szkła. Musical zen,Serce ze szkła. Musical zen,玻璃之心,Serce ze szkła. Musical zen,玻璃之心,1,1,1,官方譯名表,官方譯名表,1,1,1
shadow,韓國原創,1,SHADOW,SHADOW,,SHADOW,,1,0,0,—,—,1,1,1
she loves me,Broadway/West End,1,She Loves Me,She Loves Me,,She Loves Me,,1,0,0,—,—,1,1,1
show boat,Broadway/West End,1,Show Boat,Show Boat,畫舫璇宮,Show Boat,演艺船,1,1,1,官方譯名表,官方譯名表,1,1,1
shrek,Broadway/West End,4,Shrek The Musical,Shrek The Musical,史瑞克,Shrek The Musical,怪物史莱克,1,1,1,官方譯名表,官方譯名表,1,1,1
shucked,Broadway/West End,13,Shucked,Shucked,,Shucked,,1,0,0,—,—,1,1,1
si sol mi,台灣原創,1,Miserable Si Sol Mi,小裸女Si Sol Mi,,小裸女Si Sol Mi,,1,1,1,原生中文,原生中文,1,1,1
sinatra,Broadway/West End,1,Sinatra The Musical,Sinatra The Musical,,Sinatra The Musical,,1,0,0,—,—,1,1,1
singin in the rain,Broadway/West End,7,Singin' In The Rain,Singin' In The Rain,萬花嬉春,Singin' In The Rain,雨中曲,1,1,1,官方譯名表,官方譯名表,1,1,1
sister act,Broadway/West End,2,Sister Act,Sister Act,修女也瘋狂,Sister Act,修女也疯狂,1,1,1,官方譯名表,官方譯名表,1,1,1
six,Broadway/West End,46,SIX,SIX,,SIX,,1,0,0,—,—,1,1,1
smartest giant in town,Broadway/West End,1,The Smartest Giant in Town,The Smartest Giant in Town,,The Smartest Giant in Town,,1,0,0,—,—,1,1,1
snowboardaci,歐陸原創,1,Snowboarďáci,Snowboarďáci,滑雪板玩家,Snowboarďáci,滑雪板玩家,1,1,1,官方譯名表,官方譯名表,1,1,1
socrates paradox,韓國原創,1,SOCRATES PARADOX,SOCRATES PARADOX,,SOCRATES PARADOX,,1,0,0,—,—,0,0,0
someday,韓國原創,1,Someday,Someday,,Someday,,1,0,0,—,—,0,0,0
something rotten,Broadway/West End,1,Something Rotten!,Something Rotten!,,Something Rotten!,,1,0,0,—,—,1,1,1
sound of music,Broadway/West End,26,The Sound of Music,The Sound of Music,真善美,The Sound of Music,音乐之声,1,1,1,官方譯名表,官方譯名表,1,1,1
south pacific,Broadway/West End,1,South Pacific,South Pacific,,South Pacific,,1,0,0,—,—,1,1,1
spamalot,Broadway/West End,13,Spamalot,Spamalot,,Spamalot,,1,0,0,—,—,1,1,1
spongebob musical,Broadway/West End,2,The Spongebob Musical,The Spongebob Musical,海綿寶寶,The Spongebob Musical,海绵宝宝,1,1,1,官方譯名表,官方譯名表,1,1,1
spotlight,韓國原創,1,SpotLight,SpotLight,,SpotLight,,1,0,0,—,—,0,0,0
spyfamily 2,日本原創,1,SPY×FAMILY 2 爆弾犬篇＆豪華客船篇,SPY×FAMILY 2 爆弾犬篇＆豪華客船篇,,SPY×FAMILY 2 爆弾犬篇＆豪华客船篇,,0,0,0,日文漢字題名,日文漢字題名,1,1,1
stage tsurugi,日本原創,1,新サクラ大戦 the Stage ～誠伝 TSURUGI～,新サクラ大戦 the Stage ～誠伝 TSURUGI～,,新サクラ大戦 the Stage ～诚伝 TSURUGI～,,0,0,0,—,—,1,1,1
starlight express,Broadway/West End,4,Starlight Express,Starlight Express,星光列車,Starlight Express,星光列车,1,1,1,官方譯名表,官方譯名表,1,1,1
starzynski,歐陸原創,1,Starzyński,Starzyński,,Starzyński,,1,0,0,—,—,0,0,0
stravinsky,韓國原創,1,Stravinsky,Stravinsky,,Stravinsky,,1,0,0,—,—,1,1,1
summer,Broadway/West End,1,Summer - The Donna Summer Musical,Summer - The Donna Summer Musical,,Summer - The Donna Summer Musical,,1,0,0,—,—,1,1,1
sunday in the park with george,Broadway/West End,1,Sunday in the Park with George,Sunday in the Park with George,,Sunday in the Park with George,,1,0,0,—,—,1,1,1
sunny ten,韓國原創,1,Sunny Ten,Sunny Ten,,Sunny Ten,,1,0,0,—,—,1,1,1
sunset boulevard,Broadway/West End,1,Sunset Boulevard,Sunset Boulevard,日落大道,Sunset Boulevard,日落大道,1,1,1,官方譯名表,官方譯名表,1,1,1
sweeney todd,Broadway/West End,3,Sweeney Todd,Sweeney Todd,理髮師陶德,Sweeney Todd,理发师陶德,1,1,1,官方譯名表,官方譯名表,1,1,1
sylvia,Broadway/West End,1,Sylvia,Sylvia,,Sylvia,,1,0,0,—,—,1,1,1
tabaluga und lilli,德奧音樂劇,1,Tabaluga und Lilli,Tabaluga und Lilli,,Tabaluga und Lilli,,1,0,0,—,—,1,1,1
tanz der vampire,德奧音樂劇,2,Tanz der Vampire,Tanz der Vampire,吸血鬼之舞,Tanz der Vampire,吸血鬼之舞,1,1,1,官方譯名表,官方譯名表,1,1,1
tarzan,Broadway/West End,1,Tarzan,Tarzan,泰山,Tarzan,泰山,1,1,1,官方譯名表,官方譯名表,1,1,1
ternet ninja,歐陸原創,1,Checkered Ninja,Ternet Ninja,格子忍者,Ternet Ninja,格子忍者,1,1,1,官方譯名表,官方譯名表,1,1,1
thelma and louise,Broadway/West End,1,Thelma & Louise: A New Musical,Thelma & Louise: A New Musical,,Thelma & Louise: A New Musical,,1,0,0,—,—,1,1,1
thrill me,Broadway/West End,5,Thrill Me,Thrill Me,,Thrill Me,,1,0,0,—,—,1,1,1
tiger and bunny,日本原創,2,TIGER & BUNNY,TIGER & BUNNY,,TIGER & BUNNY,,1,0,0,—,—,1,1,1
tina,Broadway/West End,3,Tina,Tina,,Tina,,1,0,0,—,—,1,1,1
titanique,Broadway/West End,3,Titanique,Titanique,,Titanique,,1,0,0,—,—,1,1,1
tommy,Broadway/West End,14,Tommy,Tommy,,Tommy,,1,0,0,—,—,1,1,1
tootsie,Broadway/West End,2,Tootsie,Tootsie,窈窕淑男,Tootsie,窈窕淑男,1,1,1,官方譯名表,官方譯名表,1,1,1
touch five,韓國原創,1,TOUCH FIVE,TOUCH FIVE,,TOUCH FIVE,,1,0,0,—,—,0,0,0
trainspotting,Broadway/West End,1,Trainspotting the Musical,Trainspotting the Musical,,Trainspotting the Musical,,1,0,0,—,—,1,1,1
treadmill,韓國原創,2,treadmill,treadmill,,treadmill,,1,0,0,—,—,1,1,1
tuck everlasting,Broadway/West End,1,Tuck Everlasting,Tuck Everlasting,,Tuck Everlasting,,1,0,0,—,—,1,1,1
turbulent age,韓國原創,1,Turbulent age,Turbulent age,,Turbulent age,,1,0,0,—,—,0,0,0
two strangers carry a cake across new york,Broadway/West End,1,Two Strangers (Carry a Cake Across New York),Two Strangers (Carry a Cake Across New York),,Two Strangers (Carry a Cake Across New York),,1,0,0,—,—,1,1,1
un refugi al sol,西葡音樂劇,2,Un refugi al sol,Un refugi al sol,陽光下的避難所,Un refugi al sol,阳光下的避难所,1,1,1,官方譯名表,官方譯名表,1,1,1
unauthorized hallmark ish parody musical,Broadway/West End,4,The Unauthorized Hallmark(ish) Parody Musical,The Unauthorized Hallmark(ish) Parody Musical,,The Unauthorized Hallmark(ish) Parody Musical,,1,0,0,—,—,1,1,1
urinetown,Broadway/West End,3,Urinetown,Urinetown,尿尿城,Urinetown,尿都,1,1,1,官方譯名表,官方譯名表,1,1,1
valahol europaban,歐陸原創,1,Valahol Európában,Valahol Európában,歐洲的某個地方,Valahol Európában,欧洲的某个地方,1,1,1,官方譯名表,官方譯名表,1,1,1
vape the grease parody,Broadway/West End,1,Vape! The Grease Parody,Vape! The Grease Parody,,Vape! The Grease Parody,,1,0,0,—,—,1,1,1
villanas,西葡音樂劇,1,Villanas,Villanas,女反派,Villanas,女反派,1,1,1,官方譯名表,官方譯名表,1,1,1
vy nejste zena pane,歐陸原創,1,"VY NEJSTE ŽENA, PANE!","VY NEJSTE ŽENA, PANE!",先生，您不是女人！,"VY NEJSTE ŽENA, PANE!",先生，您不是女人！,1,1,1,官方譯名表,官方譯名表,1,1,1
wahnsinn,德奧音樂劇,1,Wahnsinn,Wahnsinn,瘋狂,Wahnsinn,疯狂,1,1,1,官方譯名表,官方譯名表,1,1,1
waistwatchers,Broadway/West End,1,WaistWatchers The Musical!,WaistWatchers The Musical!,,WaistWatchers The Musical!,,1,0,0,—,—,1,1,1
waitress,Broadway/West End,27,Waitress,Waitress,女侍情緣,Waitress,女招待,1,1,1,官方譯名表,官方譯名表,1,1,1
wanted,Broadway/West End,1,Wanted,Wanted,,Wanted,,1,0,0,—,—,1,1,1
water for elephants,Broadway/West End,11,Water for Elephants,Water for Elephants,大象的眼淚,Water for Elephants,大象的眼泪,1,1,1,官方譯名表,官方譯名表,1,1,1
we will rock you,Broadway/West End,2,We Will Rock You,We Will Rock You,,We Will Rock You,,1,0,0,—,—,1,1,1
wedding singer,Broadway/West End,1,The Wedding Singer,The Wedding Singer,,The Wedding Singer,,1,0,0,—,—,1,1,1
weihnachten mit bibi and tina,德奧音樂劇,1,WEIHNACHTEN MIT BIBI & TINA – Das Musical,WEIHNACHTEN MIT BIBI & TINA – Das Musical,,WEIHNACHTEN MIT BIBI & TINA – Das Musical,,1,0,0,—,—,1,1,1
welcome to the hyunam dong bookshop,韓國原創,1,Welcome to the Hyunam-Dong Bookshop,Welcome to the Hyunam-Dong Bookshop,,Welcome to the Hyunam-Dong Bookshop,,1,0,0,—,—,0,0,0
western story,韓國原創,1,WESTERN STORY,WESTERN STORY,,WESTERN STORY,,1,0,0,—,—,1,1,1
whispering jack,Broadway/West End,1,Whispering Jack: The John Farnham Musical,Whispering Jack: The John Farnham Musical,,Whispering Jack: The John Farnham Musical,,1,0,0,—,—,1,1,1
white christmas,Broadway/West End,2,White Christmas,White Christmas,,White Christmas,,1,0,0,—,—,1,1,1
wicked,Broadway/West End,14,Wicked,Wicked,女巫前傳,Wicked,魔法坏女巫,1,1,1,官方譯名表,官方譯名表,1,1,1
widerstand,韓國原創,1,WIDERSTAND,WIDERSTAND,,WIDERSTAND,,1,0,0,—,—,0,0,0
wild about you,Broadway/West End,1,Wild About You,Wild About You,,Wild About You,,1,0,0,—,—,1,1,1
will rogers follies,Broadway/West End,1,The Will Rogers Follies,The Will Rogers Follies,,The Will Rogers Follies,,1,0,0,—,—,1,1,1
win for life,歐陸原創,10,Win for life,Win for life,,Win for life,,1,0,0,—,—,1,1,1
wir sind am leben,德奧音樂劇,1,WIR SIND AM LEBEN,WIR SIND AM LEBEN,我們活著,WIR SIND AM LEBEN,我们活着,1,1,1,官方譯名表,官方譯名表,1,1,1
wiz,Broadway/West End,26,The Wiz,The Wiz,新綠野仙蹤,The Wiz,新绿野仙踪,1,1,1,官方譯名表,官方譯名表,1,1,1
wizard of oz,Broadway/West End,2,The Wizard of Oz,The Wizard of Oz,綠野仙蹤,The Wizard of Oz,绿野仙踪,1,1,1,官方譯名表,官方譯名表,1,1,1
wonderland,Broadway/West End,1,Wonderland,Wonderland,,Wonderland,,1,0,0,—,—,1,1,1
wypior,歐陸原創,1,Wypiór,Wypiór,,Wypiór,,1,0,0,—,—,0,0,0
x,中國原創,1,嫌疑人X的献身,嫌疑人X的獻身,,嫌疑人X的献身,,0,1,1,原生中文,原生中文,0,0,0
young frankenstein,Broadway/West End,1,Young Frankenstein,Young Frankenstein,新科學怪人,Young Frankenstein,新科学怪人,1,1,1,官方譯名表,官方譯名表,1,1,1
your letter,韓國原創,1,Your Letter,Your Letter,,Your Letter,,1,0,0,—,—,0,0,0
zlatovlaska,歐陸原創,1,Zlatovláska,Zlatovláska,金髮公主,Zlatovláska,金发公主,1,1,1,官方譯名表,官方譯名表,1,1,1
zorro,Broadway/West End,1,Zorro,Zorro,佐羅,Zorro,佐罗,1,1,1,官方譯名表,官方譯名表,1,1,1
えぶりでいホスト,日本原創,1,えぶりでいホスト,えぶりでいホスト,,えぶりでいホスト,,0,0,0,—,—,1,1,1
けものフレンズ,日本原創,1,けものフレンズ,けものフレンズ,動物朋友,けものフレンズ,兽娘动物园,0,1,1,官方譯名表,官方譯名表,1,1,1
ケロロ軍曹,日本原創,1,ケロロ軍曹,ケロロ軍曹,Keroro軍曹,ケロロ军曹,青蛙军曹,0,1,1,官方譯名表,官方譯名表,1,1,1
スクールアイドルミュージカル,日本原創,1,スクールアイドルミュージカル,スクールアイドルミュージカル,,スクールアイドルミュージカル,,0,0,0,—,—,1,1,1
ブロードウェイ クリスマス ワンダーランド2026,日本原創,1,ブロードウェイ クリスマス・ワンダーランド2026,ブロードウェイ クリスマス・ワンダーランド2026,,ブロードウェイ クリスマス・ワンダーランド2026,,0,0,0,—,—,0,0,0
ポーの一族,日本原創,1,ポーの一族,ポーの一族,波族傳奇,ポーの一族,波族传奇,0,1,1,官方譯名表,官方譯名表,1,1,1
ロボット イン ザ ガーデン 東京,日本原創,1,ロボット・イン・ザ・ガーデン　東京,ロボット・イン・ザ・ガーデン　東京,,ロボット・イン・ザ・ガーデン　东京,,0,0,0,—,—,1,1,1
三個不結婚的女人,台灣原創,1,Three unmarried Women Musical,三個不結婚的女人,,三个不结婚的女人,,1,1,1,原生中文,原生中文,1,1,1
三個傻瓜,台灣原創,3,3 idiots,三個傻瓜,三個傻瓜,三个傻瓜,三傻大闹宝莱坞,1,1,1,官方譯名表,官方譯名表,1,1,1
三风一树,中國原創,1,三风一树,三風一樹,,三风一树,,0,1,1,原生中文,原生中文,0,0,0
不親愛家人,台灣原創,1,不親愛家人,不親愛家人,,不亲爱家人,,0,1,1,原生中文,原生中文,1,1,1
不负青山,中國原創,1,不负青山,不負青山,,不负青山,,0,1,1,原生中文,原生中文,0,0,0
东南望,中國原創,1,东南望,東南望,,东南望,,0,1,1,原生中文,原生中文,0,0,0
亡灵之旅 冥犬与少年,中國原創,1,亡灵之旅：冥犬与少年,亡靈之旅：冥犬與少年,,亡灵之旅：冥犬与少年,,0,1,1,原生中文,原生中文,0,0,0
今晚 我想來點,台灣原創,1,Come (Again) Some of the Foober Tonight,今晚，我想來點,,今晚，我想来点,,1,1,1,原生中文,原生中文,1,1,1
你好 我是接體員,台灣原創,1,Ballad from Six Feet Under,你好，我是接體員,,你好，我是接体员,,1,1,1,原生中文,原生中文,1,1,1
你的工作 你的休假,台灣原創,1,Your Work & Your Dayoff The Musical,你的工作＆你的休假,,你的工作＆你的休假,,1,1,1,原生中文,原生中文,1,1,1
入傩,中國原創,1,入傩,入儺,,入傩,,0,1,1,原生中文,原生中文,0,0,0
六个说谎的大学生,中國原創,3,六个说谎的大学生,六個說謊的大學生,,六个说谎的大学生,,0,1,1,原生中文,原生中文,0,0,0
冈格尼尔,中國原創,1,冈格尼尔,岡格尼爾,,冈格尼尔,,0,1,1,原生中文,原生中文,0,0,0
刀剣乱舞,日本原創,12,刀剣乱舞,刀剣亂舞,刀劍亂舞,刀剣乱舞,刀剑乱舞,0,1,1,官方譯名表,官方譯名表,1,1,1
別叫我成功 藝術界歸來的兒子,台灣原創,1,the Return of a Prodigal Son The Musical,別叫我成功：藝術界歸來的兒子,,别叫我成功：艺术界归来的儿子,,1,1,1,原生中文,原生中文,1,1,1
勸世三姊妹,台灣原創,3,"Don’t Cry, Dancing Girls the Musical",勸世三姊妹,,劝世三姊妹,,1,1,1,原生中文,原生中文,1,1,1
南墙计划,中國原創,3,南墙计划,南牆計劃,,南墙计划,,0,1,1,原生中文,原生中文,0,0,0
博物馆奇遇记,中國原創,3,博物馆奇遇记,博物館奇遇記,,博物馆奇遇记,,0,1,1,原生中文,原生中文,0,0,0
去你的夏天,中國原創,1,去你的夏天,去你的夏天,,去你的夏天,,0,1,1,原生中文,原生中文,0,0,0
命运之上,中國原創,1,命运之上,命運之上,,命运之上,,0,1,1,原生中文,原生中文,0,0,0
唐妞驾到,中國原創,1,唐妞驾到,唐妞駕到,,唐妞驾到,,0,1,1,原生中文,原生中文,0,0,0
喜欢你,中國原創,2,喜欢你,喜歡你,,喜欢你,,0,1,1,原生中文,原生中文,0,0,0
嗜血博士,中國原創,1,嗜血博士,嗜血博士,,嗜血博士,,0,1,1,原生中文,原生中文,0,0,0
囍宴,台灣原創,1,The Wedding Banquet: A New Musical,囍宴,,囍宴,,1,1,1,原生中文,原生中文,1,1,1
四大美女,中國原創,1,四大美女,四大美女,,四大美女,,0,1,1,原生中文,原生中文,0,0,0
在那遥远的地方2 0,中國原創,1,在那遥远的地方2.0,在那遙遠的地方2.0,,在那遥远的地方2.0,,0,1,1,原生中文,原生中文,0,0,0
夜幕下的哈尔滨,中國原創,6,夜幕下的哈尔滨,夜幕下的哈爾濱,,夜幕下的哈尔滨,,0,1,1,原生中文,原生中文,0,0,0
夢幻雞排大冒險,台灣原創,2,夢幻雞排大冒險,夢幻雞排大冒險,,梦幻鸡排大冒险,,0,1,1,原生中文,原生中文,1,1,1
大家都怎麼做音樂劇,台灣原創,1,How to Write a Musical?,大家都怎麼做音樂劇？,,大家都怎么做音乐剧？,,1,1,1,原生中文,原生中文,1,1,1
大江东去,中國原創,1,大江东去,大江東去,,大江东去,,0,1,1,原生中文,原生中文,0,0,0
大状王,中國原創,1,大状王,大狀王,,大状王,,0,1,1,原生中文,原生中文,0,0,0
天堂邊緣,台灣原創,1,The Edge of Heaven,天堂邊緣,,天堂边缘,,1,1,1,原生中文,原生中文,0,0,0
太空阿嬤,台灣原創,1,Space Amah,太空阿嬤,,太空阿嬷,,1,1,1,原生中文,原生中文,1,1,1
奇美拉,中國原創,3,奇美拉,奇美拉,,奇美拉,,0,1,1,原生中文,原生中文,0,0,0
女巫,中國原創,8,女巫,女巫,,女巫,,0,1,1,原生中文,原生中文,0,0,0
她对此感到厌烦,中國原創,9,她对此感到厌烦,她對此感到厭煩,,她对此感到厌烦,,0,1,1,原生中文,原生中文,0,0,0
她的海,中國原創,3,她的海,她的海,,她的海,,0,1,1,原生中文,原生中文,0,0,0
宝玉,中國原創,2,宝玉,寶玉,,宝玉,,0,1,1,原生中文,原生中文,0,0,0
寻找李二狗,中國原創,1,寻找李二狗,尋找李二狗,,寻找李二狗,,0,1,1,原生中文,原生中文,0,0,0
小城之春,中國原創,1,小城之春,小城之春,,小城之春,,0,1,1,原生中文,原生中文,0,0,0
小王子,台灣原創,2,Le Petit Prince,小王子,小王子,小王子,小王子,1,1,1,官方譯名表,官方譯名表,1,1,1
小说,韓國原創,1,小说,小說,,小说,,0,1,1,原生中文,原生中文,1,1,1
岁月之链,中國原創,1,岁月之链,歲月之鏈,,岁月之链,,0,1,1,原生中文,原生中文,0,0,0
市場女人心 第一市場二部曲,台灣原創,1,市場女人心─第一市場二部曲,市場女人心─第一市場二部曲,,市场女人心─第一市场二部曲,,0,1,1,原生中文,原生中文,1,1,1
当你心动时,中國原創,1,当你心动时,當你心動時,,当你心动时,,0,1,1,原生中文,原生中文,0,0,0
微笑半世紀,台灣原創,1,Smile for Half a Century,微笑半世紀,,微笑半世纪,,1,1,1,原生中文,原生中文,1,1,1
德拉拉牙科診所,韓國原創,1,德拉拉牙科診所,德拉拉牙科診所,,德拉拉牙科诊所,,0,1,1,原生中文,原生中文,1,1,1
心安东坡,中國原創,3,心安东坡,心安東坡,,心安东坡,,0,1,1,原生中文,原生中文,0,0,0
忍たま乱太郎,日本原創,5,忍たま乱太郎,忍たま亂太郎,忍者亂太郎,忍たま乱太郎,忍者乱太郎,0,1,1,官方譯名表,官方譯名表,1,1,1
快乐即逝,西葡音樂劇,1,快乐即逝,快樂即逝,,快乐即逝,,0,1,1,原生中文,原生中文,1,1,1
怨种闺蜜,中國原創,1,怨种闺蜜,怨種閨蜜,,怨种闺蜜,,0,1,1,原生中文,原生中文,0,0,0
怪物,中國原創,1,怪物,怪物,,怪物,,0,1,1,原生中文,原生中文,0,0,0
想把我唱给您听,中國原創,1,想把我唱给您听,想把我唱給您聽,,想把我唱给您听,,0,1,1,原生中文,原生中文,0,0,0
我在詐騙公司上班,台灣原創,1,I am Working in a Fraud Company,我在詐騙公司上班,,我在诈骗公司上班,,1,1,1,原生中文,原生中文,1,1,1
我的爵視金曲夜,台灣原創,3,Jazz A Golden Night,我的爵視金曲夜,,我的爵视金曲夜,,1,1,1,原生中文,原生中文,1,1,1
我那长乐塬,中國原創,1,我那长乐塬,我那長樂塬,,我那长乐塬,,0,1,1,原生中文,原生中文,0,0,0
拜风,中國原創,1,拜风,拜風,,拜风,,0,1,1,原生中文,原生中文,0,0,0
換氣練習,台灣原創,1,Out of Breath to Breathe Again,換氣練習,,换气练习,,1,1,1,原生中文,原生中文,1,1,1
摇滚浮士德,韓國原創,1,摇滚浮士德,搖滾浮士德,,摇滚浮士德,,0,1,1,原生中文,原生中文,1,1,1
新テニスの王子様,日本原創,3,新テニスの王子様,新テニスの王子様,新網球王子,新テニスの王子様,新网球王子,0,1,1,官方譯名表,官方譯名表,1,1,1
新唐伯虎点秋香,中國原創,1,新唐伯虎点秋香,新唐伯虎點秋香,,新唐伯虎点秋香,,0,1,1,原生中文,原生中文,0,0,0
新贵,中國原創,1,新贵,新貴,,新贵,,0,1,1,原生中文,原生中文,0,0,0
日出渤海耀天山,中國原創,1,日出渤海耀天山,日出渤海耀天山,,日出渤海耀天山,,0,1,1,原生中文,原生中文,0,0,0
旧讼,中國原創,1,旧讼,舊訟,,旧讼,,0,1,1,原生中文,原生中文,0,0,0
时光代理人,中國原創,2,时光代理人,時光代理人,,时光代理人,,0,1,1,原生中文,原生中文,0,0,0
昨日显影,中國原創,1,昨日显影,昨日顯影,,昨日显影,,0,1,1,原生中文,原生中文,0,0,0
最美的一天,台灣原創,3,最美的一天,最美的一天,,最美的一天,,0,1,1,原生中文,原生中文,1,1,1
月亮与六便士,中國原創,1,月亮与六便士,月亮與六便士,,月亮与六便士,,0,1,1,原生中文,原生中文,0,0,0
有一天我和祝英台去美术馆,中國原創,1,有一天我和祝英台去美术馆,有一天我和祝英臺去美術館,,有一天我和祝英台去美术馆,,0,1,1,原生中文,原生中文,0,0,0
杜十娘,中國原創,3,杜十娘,杜十娘,,杜十娘,,0,1,1,原生中文,原生中文,0,0,0
桑塔露琪亚,中國原創,2,桑塔露琪亚,桑塔露琪亞,,桑塔露琪亚,,0,1,1,原生中文,原生中文,0,0,0
梦微之,中國原創,1,梦微之,夢微之,,梦微之,,0,1,1,原生中文,原生中文,0,0,0
椒花颂声,中國原創,1,椒花颂声,椒花頌聲,,椒花颂声,,0,1,1,原生中文,原生中文,0,0,0
楸树花开,中國原創,1,楸树花开,楸樹花開,,楸树花开,,0,1,1,原生中文,原生中文,0,0,0
民王,日本原創,1,民王,民王,,民王,,0,0,0,日文漢字題名,日文漢字題名,1,1,1
水鬼學校和失去媽媽的水獺,台灣原創,1,The School of Water-ghosts and the Otter Who Lost His Mother,水鬼學校和失去媽媽的水獺,,水鬼学校和失去妈妈的水獭,,1,1,1,原生中文,原生中文,1,1,1
流星之绊,中國原創,1,流星之绊,流星之絆,,流星之绊,,0,1,1,原生中文,原生中文,0,0,0
浅利演出事務所主催公演 夢から醒めた夢 東京,日本原創,1,浅利演出事務所主催公演『夢から醒めた夢』　東京,淺利演出事務所主催公演『夢から醒めた夢』　東京,,浅利演出事务所主催公演『梦から醒めた梦』　东京,,0,0,0,—,—,1,1,1
海上钢琴师,中國原創,1,海上钢琴师,海上鋼琴師,,海上钢琴师,,0,1,1,原生中文,原生中文,0,0,0
海底总动员,中國原創,1,海底总动员,海底總動員,,海底总动员,,0,1,1,原生中文,原生中文,0,0,0
海浪你轻轻地摇,中國原創,1,海浪你轻轻地摇,海浪你輕輕地搖,,海浪你轻轻地摇,,0,1,1,原生中文,原生中文,0,0,0
海的那边还是海,中國原創,1,海的那边还是海,海的那邊還是海,,海的那边还是海,,0,1,1,原生中文,原生中文,0,0,0
渡子江 死了都要愛,台灣原創,1,Duzi River: Love Until Death,渡子江：死了都要愛,,渡子江：死了都要爱,,1,1,1,原生中文,原生中文,1,1,1
渡河 渡河,中國原創,1,渡河，渡河,渡河，渡河,,渡河，渡河,,0,1,1,原生中文,原生中文,0,0,0
漂浪半島,台灣原創,1,The Wandering Peninsula An Original Taiwanese Folk-Rock Musical,漂浪半島,,漂浪半岛,,1,1,1,原生中文,原生中文,1,1,1
潘朵拉的音樂盒,台灣原創,1,The musical box of Pandora,潘朵拉的音樂盒,,潘朵拉的音乐盒,,1,1,1,原生中文,原生中文,1,1,1
